descriptor,coefficient_standardised_X,abs_coefficient_standardised_X
nF11Ring,-0.002211252452837414,0.002211252452837414
nF12Ring,0.0031895199014320076,0.0031895199014320076
nFG12Ring,-0.045659711303916994,0.045659711303916994
nTRing,-0.009202974903666304,0.009202974903666304
nT4Ring,-0.007152156427569764,0.007152156427569764
nT5Ring,-0.027779324002761646,0.027779324002761646
nT6Ring,-0.03622518361106058,0.03622518361106058
nT7Ring,0.05171751374656319,0.05171751374656319
nT8Ring,0.028463992655046993,0.028463992655046993
nT9Ring,0.08556760750954634,0.08556760750954634
nT10Ring,-0.013119038266618328,0.013119038266618328
nT11Ring,-0.002211252452837414,0.002211252452837414
nT12Ring,0.004634151251009277,0.004634151251009277
nTG12Ring,-0.04089781863059263,0.04089781863059263
nRotB,-0.030517589588505756,0.030517589588505756
LipinskiFailures,0.010718081100107706,0.010718081100107706
TopoPSA,-0.02963449638407103,0.02963449638407103
VABC,0.0005518473402688689,0.0005518473402688689
VAdjMat,0.009529824180926488,0.009529824180926488
MW,-0.0014928434649715099,0.0014928434649715099
WTPT-1,0.007202168489973231,0.007202168489973231
WTPT-2,0.03070544499847841,0.03070544499847841
WTPT-3,-0.02716984095050383,0.02716984095050383
WTPT-4,0.031216381685645035,0.031216381685645035
WTPT-5,-0.0645648131562357,0.0645648131562357
WPATH,0.008401672485176972,0.008401672485176972
WPOL,0.01480031637501698,0.01480031637501698
XLogP,0.13007306087759565,0.13007306087759565
Zagreb,0.012782272774449804,0.012782272774449804
