dataset_name,n_components,fold,rmse,mae,r2
sensitivity_remove_constant_nonbinary_near_constant,7,1,0.9376073705986994,0.7147664639892578,0.5660944991994199
sensitivity_remove_constant_nonbinary_near_constant,7,2,0.9446265320240038,0.6789022704354445,0.567910442929555
sensitivity_remove_constant_nonbinary_near_constant,7,3,0.8319274639611367,0.6332374710794415,0.6654116206908809
sensitivity_remove_constant_nonbinary_near_constant,7,4,0.8694010815890654,0.6646009284053832,0.6084872880011194
sensitivity_remove_constant_nonbinary_near_constant,7,5,0.8830097382387705,0.6882404690768481,0.6126355452629565
sensitivity_remove_constant_nonbinary_near_constant,8,1,0.947106752533036,0.7264643741703465,0.5572577207894929
sensitivity_remove_constant_nonbinary_near_constant,8,2,0.9428870329596867,0.6855721881703869,0.5695003354710728
sensitivity_remove_constant_nonbinary_near_constant,8,3,0.823796903630778,0.6348309599564762,0.6719196342199885
sensitivity_remove_constant_nonbinary_near_constant,8,4,0.8602509953504366,0.6556449374898674,0.6166849395727896
sensitivity_remove_constant_nonbinary_near_constant,8,5,0.8678947180385026,0.6729398447794216,0.6257835532773646
sensitivity_remove_constant_nonbinary_near_constant,9,1,0.9471739105135145,0.7193355124192415,0.557194930124236
sensitivity_remove_constant_nonbinary_near_constant,9,2,0.9843971378547198,0.6969161331106483,0.530760918850673
sensitivity_remove_constant_nonbinary_near_constant,9,3,0.8134042564400892,0.6268841956922891,0.6801452450396717
sensitivity_remove_constant_nonbinary_near_constant,9,4,0.8547925662260462,0.655260964170887,0.6215338967240576
sensitivity_remove_constant_nonbinary_near_constant,9,5,0.8344760145834691,0.6527024208723703,0.6540474814632851
sensitivity_remove_constant_nonbinary_near_constant,10,1,0.9352391632528292,0.7092792492410503,0.5682836468081733
sensitivity_remove_constant_nonbinary_near_constant,10,2,0.9712401930396365,0.6815508869351895,0.5432203112271006
sensitivity_remove_constant_nonbinary_near_constant,10,3,0.8056298296433214,0.6200936662473285,0.6862302971369406
sensitivity_remove_constant_nonbinary_near_constant,10,4,0.859125013045489,0.6555409591625874,0.6176877248368986
sensitivity_remove_constant_nonbinary_near_constant,10,5,0.8424915739386912,0.6583200288383947,0.6473694681049105
sensitivity_remove_constant_nonbinary_near_constant,11,1,0.9320223331269765,0.7008900900834418,0.5712483853535146
sensitivity_remove_constant_nonbinary_near_constant,11,2,1.0113615403668483,0.6732376907291382,0.5047022444824343
sensitivity_remove_constant_nonbinary_near_constant,11,3,0.8211164988869103,0.6339670619639873,0.6740511244534427
sensitivity_remove_constant_nonbinary_near_constant,11,4,0.8597824543654456,0.652106170472177,0.6171023756632936
sensitivity_remove_constant_nonbinary_near_constant,11,5,0.8445880387026435,0.6581344981023238,0.6456123056107415
sensitivity_remove_constant_nonbinary_near_constant,12,1,0.9306874649309516,0.7005129641988379,0.5724756457374012
sensitivity_remove_constant_nonbinary_near_constant,12,2,0.9794886190681446,0.6699315912349859,0.5354288040760993
sensitivity_remove_constant_nonbinary_near_constant,12,3,0.8148324130672124,0.6288398337780359,0.679021071650462
