feature,importance_mean,importance_sd
SHBint4,0.0011601518915877241,0.0001664657437453631
SHaaNH,0.0011501128918991437,0.0001275898986191971
SHBint7,0.0011403652337402814,0.00016921466039371215
MDEC-11,0.0011368276845916791,0.00016742850035214406
ETA_BetaP,0.001100591996162928,0.00018782892568363455
maxaaaC,0.0010931361154260023,0.00012630994269412023
SC-6,0.0010743156424748684,0.00034387388730769045
C2SP2,0.0010657495305964077,0.00023207030881661363
ETA_EtaP_F_L,0.0010545423114483587,0.00012660675866900433
n6Ring,0.0010145320302074184,0.00025130861419961977
C1SP3,0.0009915226696495555,0.00030411968967787784
SssO,0.000986009701464885,0.0002446101052409217
C2SP3,0.0009653954892595851,0.00012102174116878126
maxsCH3,0.0009129471282521229,6.411097047033186e-05
maxsF,0.000884729213581989,0.0001461896426051036
SHBint9,0.0008835231051140174,0.000170001895694173
ETA_Epsilon_3,0.0008647404427620714,9.711175463805806e-05
WPOL,0.0008548070967979409,0.00016580436907443578
SHBa,0.0008544274382574268,0.00012546291513364496
ETA_dEpsilon_B,0.0008506136263409403,0.00016379569143408682
HybRatio,0.0008496570796829112,0.00010244656046093416
MDEC-24,0.0008489016195968758,0.0001522085307058855
minaaN,0.000831308347976778,0.00016163598502812128
SP-0,0.0008246292462251337,0.0001806125238907006
ETA_Eta_F_L,0.0008112716662136449,0.00013953914072824491
nsssCH,0.0007879161093766795,0.0001669622766013176
ATSm2,0.000749523704270727,0.00014681845746485845
ETA_Epsilon_2,0.0007234022663802214,0.00010236647216167592
ETA_Beta,0.0007165582948125637,0.00013411077364552818
SdO,0.0007130635540591179,0.00014532862354785624
nF11Ring,0.000704825381870855,0.000298801518814442
ETA_Epsilon_1,0.0007034438551712985,0.00015294451809546572
maxHBint9,0.0006673202685570229,0.0001220877532165242
SssssC,0.0006635552744463952,0.0001111587684860041
SddssS,0.0006586195982383497,0.00016221175045021813
SC-4,0.0006265806195433793,0.0001636455204214016
minHBint3,0.0006192026830090375,7.061593980638607e-05
nHBint9,0.0005927222546355887,0.0001651540440318236
maxHBint3,0.0005671969248366354,0.00023192667253571053
minssssC,0.0005453969834238015,0.00012198397528321209
gmax,0.000523674930832807,0.0001030728365389065
VC-6,0.000507306142038516,0.0002220392755805033
ETA_Beta_ns_d,0.000506507929687125,4.7552164227174037e-05
minaaaC,0.0005063004163457701,0.00013837608994145918
nAtomLC,0.000500414274776928,0.00014659197224091368
SsCl,0.0004951583558606226,0.0001721575682127336
maxHssNH,0.00047223911767112214,0.00011560114742220227
nHBAcc2,0.00046999211421348553,0.00014611692365672368
nwHBa,0.00046965209745771506,7.260986771762202e-05
ETA_Beta_ns,0.0004621820453107522,0.00016266507545433892
SHdsCH,0.00044409974560666586,5.9222057844989435e-05
naasC,0.0004435164051708046,5.681808152471391e-05
nBonds2,0.00043070618641270764,6.057874446752266e-05
nHBint8,0.0004258901822830702,0.00012477640679403238
minHBint2,0.00040107415647624436,5.395993704672846e-05
SaaO,0.0003753005649769797,9.75782273547427e-05
maxHBint4,0.000359329518206189,3.0450108100876146e-05
SP-1,0.00035187163264853715,9.331194849941633e-05
minHBint8,0.00034711331008902,5.8521707343245294e-05
nRotB,0.0003469272109097171,0.0001464105916391882
minHAvin,0.00033590678453634395,7.798290493889931e-05
nHBint6,0.0003298794366446645,4.7727467066296066e-05
SaasN,0.0003282847443022097,4.632038114699151e-05
minaaO,0.00030296486046318407,8.330814869917397e-05
McGowan_Volume,0.00029517408022710354,3.1668094540894125e-05
minHssNH,0.0002929289816431285,0.00019093316443462977
maxHdsCH,0.00029128991461561113,8.00360331328057e-05
ETA_BetaP_ns,0.000288181411620117,7.43960928545049e-05
nHaaCH,0.00028795873102029914,0.00011172736983221101
nssCH2,0.00028486748728484557,8.141174998361309e-05
